# RA Dec
1.1660948177150114 0.8544224739113436
1.184288857134145 0.8417805046907567
1.2019718671838011 0.8289786844295656
1.2191648022492096 0.8160254211217403
1.2358880508640557 0.8029286590592564
1.2521613980551871 0.7896959025126514
1.2680039992686853 0.7763342390408178
1.283434364061445 0.7628503622482681
1.298470347957329 0.7492505938528219
1.3131291510670398 0.7355409049640265
1.3274273222544775 0.7217269365034352
1.3413807677985943 0.7078140187231138
1.3550047636489133 0.6938071897991488
1.3683139705053096 0.6797112134932457
1.3813224510695177 0.6655305958883858
1.3940436889181698 0.6512696012144803
1.406490608536258 0.636932266787558
1.418675596127123 0.6225224170916233
1.4306105208815683 0.6080436770363236
1.4423067564457728 0.5934994844262437
1.4537752023763946 0.5788931016792773
1.465026305412724 0.5642276268323241
1.4760700804308506 0.5495060038726733
1.4869161309744185 0.5347310324330892
1.4975736692814312 0.519905376887807
1.508051535747339 0.5050315748856248
1.508051535747339 0.5050315748856248
1.518358217781978 0.4901120453549832
1.5285018680322298 0.4751490960145371
1.53849032195409 0.4601449304211987
1.5483311147274432 0.4451016545861069
1.558031497514693 0.43002128318739086
1.5675984530706875 0.41490574540704234
1.5770387107163664 0.3997568904176903
1.5863587606925253 0.38457649254356746
1.5955648679130905 0.3693662561185422
1.6046630851396382 0.35412782006269844
1.6136592656005084 0.3388627621976542
1.6225590750791306 0.32357260331955623
1.6313680034968365 0.3082588110475357
1.6400913760159832 0.29292280346429594
1.6487343636892866 0.27756595256448663
1.657301993681273 0.2621895875255595
1.665799159087565 0.2467949978148929
1.6742306283773323 0.23138343614617163
1.6826010544838959 0.2159561212972103
1.6909149835679196 0.20051424080073335
1.69917686347716 0.1850589535189447
1.7073910519261393 0.1695913921121566
1.7155618244186193 0.1541126654111716
1.7236933819351223 0.1386238607026462
1.7317898584072884 0.12312604593620112
1.7398553280003013 0.10762027186164344
1.7478938122241423 0.09210757410431894
1.7559092868940023 0.07658897518627711
1.763905688959766 0.06106548650067553
1.7718869232241308 0.04553811024658903
1.7798568689686096 0.030007841331207787
1.787819386506408 0.014475669246221567
1.7957783236809508 -0.001057420074925843
1.8037375223286847 -0.01659044241233868
1.8117008247246695 -0.03212241342101554
1.8196720800294282 -0.04765234679175008
1.827655150755519 -0.06317925240511128
1.8356539192723675 -0.07870213447197105
1.8436722943679895 -0.09421998965400143
1.8517142178864123 -0.10973180515743927
1.8597836714598224 -0.1252365567933017
1.8678846833547118 -0.14073320699704214
1.8760213354516475 -0.15622070280044723
1.8841977703786346 -0.17169797374832432
1.8924181988184294 -0.18716392975223745
1.9006869070106667 -0.20261745887324834
1.9090082644700752 -0.21805742502522754
1.9173867319426507 -0.2334826655899218
1.9258268696220981 -0.24889198893448403
1.9343333456495115 -0.26428417182169706
1.9429109449197257 -0.2796579567025498
1.9515645782183648 -0.29501204888023874
1.960299291714133 -0.31034511353399946
1.9691202768313447 -0.32565577259047096
1.9780328805281204 -0.3409426014295012
1.9870426160059818 -0.35620412541048896
1.9961551738767467 -0.3714388162044339
2.0053764338126756 -0.3866450879159194
2.0147124767055704 -0.4018212929781928
2.0241695973601015 -0.41696571780341923
2.0337543177457644 -0.4320765781689963
2.0434734008306865 -0.44715201431957047
2.053333865018706 -0.4621900857630909
2.0633429992087584 -0.4771887657378288
2.0735083784924973 -0.49214593532587836
2.0838378805019375 -0.5070593771871346
2.094339702413822 -0.5219267688862369
2.1050223786108444 -0.5367456757833724
2.1158947989918704 -0.551513543458295
2.1269662279133477 -0.5662276896353586
2.1382463237319915 -0.580885295575868
2.1497451589041368 -0.5954833969026714
2.161473240579394 -0.6100188738206545
2.173441531604908 -0.6244884406957929
2.185661471831087 -0.6388886349546867
2.1981449995793088 -0.6532158052661914
2.210904573096217 -0.6674660989669596
2.223953191776809 -0.6816354486936215
2.237304416888749 -0.6957195581860756
2.250972391472017 -0.7097138872292139
2.264971859020147 -0.7236136357046121
2.2793181804705442 -0.7374137267295473
2.29402734894057 -0.7511087888686158
2.309116001541802 -0.7646931374135547
2.3246014274860243 -0.7781607547401892
2.340501571561745 -0.7915052697682402
2.356835031908697 -0.8047199365707721
2.373621050849049 -0.817797612205997
2.3908794973482097 -0.8307307338758081
2.40863083947583 -0.843511295553729
2.426896105020905 -0.8561308242707535
2.4456968281874487 -0.8685803563019182
2.465054980064301 -0.8808504135601825
2.4849928803327392 -0.8929309805782624
2.5055330874596655 -0.904811482544052
2.526698264438006 -0.9164807649516163
2.5485110169990715 -0.9279270755373564
2.5709937011596855 -0.9391380492890689
2.5941681970108603 -0.9501006974427273
2.618055645841937 -0.9608014015150135
2.642676148067528 -0.9712259135547686
2.6680484200320995 -0.9813593639274711
2.694189408659014 -0.991186278065448
2.721113864137075 -1.0006906037121859
2.7488338724417036 -1.0098557502488097
2.777358351500369 -1.0186646416990122
2.806692517241061 -1.0270997849479746
2.8368373285839112 -1.0351433545623676
2.867788923580033 -1.042777295343703
2.899538062243231 -1.049983443369596
2.9320695949695494 -1.0567436657647313
2.965361978538934 -1.0630400187910318
2.999386864221929 -1.068854923060964
3.0341087841051553 -1.0741713537792266
3.069484962018879 -1.0789730429427162
3.1054652740426674 -1.083244689430234
