,obsHistID,filter,expMJD,fieldID,fieldRA,fieldDec,fiveSigmaDepth
426,1354007,g,61562.25242,1000,5.718053,-0.674641,24.394829
427,1354048,g,61562.271398,1000,5.718053,-0.674641,24.499429
428,1354894,r,61563.31486,1000,5.718053,-0.674641,24.137782
429,1354933,r,61563.332999,1000,5.718053,-0.674641,24.181471
430,1355786,y,61571.226685,1000,5.718053,-0.674641,21.145702
431,1355805,y,61571.235221,1000,5.718053,-0.674641,21.180846
432,1355822,y,61571.24286,1000,5.718053,-0.674641,21.209631
433,1355864,y,61571.261936,1000,5.718053,-0.674641,21.271895
434,1356914,y,61572.250183,1000,5.718053,-0.674641,21.880145
435,1357944,y,61573.22312,1000,5.718053,-0.674641,21.477487
436,1366271,i,61581.380769,1000,5.718053,-0.674641,23.02637
437,1366306,i,61581.397815,1000,5.718053,-0.674641,23.005849
438,1366322,i,61581.405386,1000,5.718053,-0.674641,22.993768
439,1366353,i,61581.420217,1000,5.718053,-0.674641,22.964661
440,1366945,i,61582.202118,1000,5.718053,-0.674641,23.304273
441,1366973,i,61582.214789,1000,5.718053,-0.674641,23.342751
442,1374887,g,61591.168649,1000,5.718053,-0.674641,24.255241
443,1374909,g,61591.178809,1000,5.718053,-0.674641,24.316505
444,1375781,u,61593.245782,1000,5.718053,-0.674641,23.344189
445,1379021,z,61598.180269,1000,5.718053,-0.674641,22.801289
446,1379046,z,61598.193802,1000,5.718053,-0.674641,22.870675
447,1379070,r,61598.20624,1000,5.718053,-0.674641,24.020296
448,1379112,r,61598.229628,1000,5.718053,-0.674641,24.128772
449,1379197,r,61598.268589,1000,5.718053,-0.674641,24.2711
450,1379229,r,61598.283116,1000,5.718053,-0.674641,24.378229
451,1380076,z,61599.187635,1000,5.718053,-0.674641,22.331793
452,1380108,z,61599.202176,1000,5.718053,-0.674641,22.393741
453,1384787,y,61608.22912,1000,5.718053,-0.674641,21.952561
454,1386351,i,61610.129062,1000,5.718053,-0.674641,23.159358
455,1386398,i,61610.151424,1000,5.718053,-0.674641,23.209286
456,1387781,r,61611.309382,1000,5.718053,-0.674641,24.097259
457,1387819,r,61611.327175,1000,5.718053,-0.674641,24.063871
458,1389405,r,61616.102175,1000,5.718053,-0.674641,24.160128
459,1389436,r,61616.116247,1000,5.718053,-0.674641,24.235308
460,1390412,u,61617.100504,1000,5.718053,-0.674641,23.015668
461,1390421,u,61617.104535,1000,5.718053,-0.674641,23.04551
462,1391477,u,61618.107095,1000,5.718053,-0.674641,23.029195
463,1396574,r,61624.108147,1000,5.718053,-0.674641,24.043704
464,1396611,r,61624.125518,1000,5.718053,-0.674641,24.121517
465,1397534,y,61625.084617,1000,5.718053,-0.674641,21.620985
